id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,now_cost_millions
12,,,444145,0,0,0,0,0,3,3.2,,0,Gabriel,0.0,False,,,80,444145.jpg,5.5,Martinelli Silva,13.6,False,,a,1,3,198,0,0,0,0,0.0,24.8,Martinelli,2789,15,9,14,33,0,0,0,3,0,0,18,648,844.2,838.1,1300.0,298.1,18.0,8.0,17.0,14.0,7.0,3.0,7.0,5.0,8.0
14,,,184029,0,0,0,0,0,3,3.4,,0,Martin,0.0,False,,,85,184029.jpg,5.7,Ødegaard,20.7,False,,a,1,3,212,0,0,0,0,0.0,24.9,Ødegaard,3132,15,8,13,38,0,0,0,4,0,0,30,813,971.8,1140.3,934.0,304.9,10.0,4.0,6.0,4.0,19.0,10.0,6.0,4.0,8.5
29,,,198869,0,0,0,0,0,2,3.1,,0,Benjamin,0.0,False,,,55,198869.jpg,4.1,White,9.6,False,,a,1,3,156,0,0,0,0,0.0,28.4,White,3054,2,5,15,35,0,0,0,5,0,0,12,734,655.4,492.5,159.0,130.8,57.0,16.0,56.0,8.0,170.0,31.0,75.0,8.0,5.5
43,,,230046,0,0,0,0,0,3,1.5,,0,Douglas Luiz,0.0,False,,,55,230046.jpg,3.8,Soares de Paulo,3.0,False,,a,2,7,142,0,0,0,0,0.0,25.8,Douglas Luiz,2922,6,7,13,35,0,0,0,6,1,0,17,594,698.4,668.6,261.0,162.7,44.0,19.0,34.0,28.0,122.0,78.0,50.0,37.0,5.5
51,,,149484,0,0,0,0,0,2,1.5,,0,Tyrone,0.0,False,,,45,149484.jpg,3.7,Mings,14.9,False,,a,2,7,130,0,0,0,0,0.0,28.9,Mings,3150,1,3,12,40,1,0,0,7,0,0,17,617,664.4,88.2,121.0,87.8,53.0,13.0,249.0,82.0,201.0,54.0,138.0,32.0,4.5
60,,,178301,0,0,0,0,0,4,2.0,,0,Ollie,0.0,False,,,80,178301.jpg,4.7,Watkins,18.1,False,,a,2,7,175,0,0,0,0,0.0,21.9,Watkins,3129,15,8,13,40,0,0,1,4,0,0,25,550,837.6,420.3,1308.0,256.7,20.0,4.0,71.0,4.0,6.0,4.0,15.0,4.0,8.0
109,,,51927,0,0,0,0,0,2,2.3,,0,Ben,0.0,False,,,50,51927.jpg,3.9,Mee,7.4,False,,a,4,94,143,0,0,0,0,0.0,28.6,Mee,3269,3,2,12,40,0,0,0,2,0,0,11,643,780.6,103.1,336.0,122.2,26.0,5.0,231.0,73.0,96.0,6.0,86.0,13.0,5.0
113,,,154561,0,0,0,0,0,1,3.2,,0,David,0.0,False,,,50,154561.jpg,4.4,Raya Martin,8.6,False,,a,4,94,166,0,0,0,0,0.0,33.2,Raya,3420,0,0,12,46,1,0,0,1,0,154,20,822,1146.0,20.1,4.0,117.3,4.0,2.0,321.0,3.0,347.0,1.0,92.0,1.0,5.0
134,,,60307,0,0,0,0,0,3,2.8,,0,Pascal,0.0,False,,,65,60307.jpg,4.3,Groß,4.7,False,,a,5,36,159,0,0,0,0,0.0,24.5,Gross,3240,9,8,11,51,1,0,0,7,0,0,14,748,918.6,1227.5,582.0,273.2,13.0,5.0,5.0,3.0,44.0,31.0,11.0,8.0,6.5
226,,,232413,0,0,0,0,0,3,2.8,,0,Eberechi,0.0,False,,,65,232413.jpg,4.2,Eze,13.2,False,,a,8,31,159,0,0,0,0,0.0,24.5,Eze,2631,10,5,9,35,0,0,0,3,0,0,21,580,702.6,833.6,635.0,217.0,43.0,18.0,18.0,15.0,37.0,26.0,25.0,18.0,6.5
291,,,116535,0,0,0,0,0,1,4.5,,0,Alisson,0.0,False,,,55,116535.jpg,4.4,Ramses Becker,9.3,False,,a,11,14,162,0,0,0,0,0.0,29.5,Alisson,3330,0,1,14,43,0,1,0,1,0,107,15,824,966.4,10.1,0.0,97.6,11.0,4.0,341.0,7.0,595.0,70.0,123.0,4.0,5.5
407,,,78916,0,0,0,0,0,2,2.5,,0,Dan,0.0,False,,,45,78916.jpg,3.4,Burn,3.3,False,,a,15,4,129,0,0,0,0,0.0,28.7,Burn,3109,1,0,14,30,0,0,0,5,0,0,6,584,555.0,230.4,265.0,105.3,85.0,27.0,134.0,30.0,119.0,14.0,112.0,21.0,4.5
430,,,77794,0,0,0,0,0,2,3.6,,0,Kieran,0.0,False,,,65,77794.jpg,5.2,Trippier,35.2,False,,a,15,4,198,0,0,0,0,0.0,30.5,Trippier,3342,1,9,16,31,1,0,0,5,0,0,39,941,908.2,1824.0,123.0,285.8,14.0,2.0,1.0,1.0,200.0,53.0,9.0,1.0,6.5
433,,,75115,0,0,0,0,0,4,3.0,,0,Callum,0.0,False,,,80,75115.jpg,5.1,Wilson,9.8,False,,a,15,4,157,0,0,0,0,0.0,19.6,Wilson,1870,18,6,10,16,0,0,0,4,0,0,20,526,722.2,271.3,1022.0,200.9,37.0,5.0,116.0,11.0,14.0,9.0,29.0,6.0,8.0
500,,,78830,0,0,0,0,0,4,3.6,,0,Harry,0.0,False,,,125,78830.jpg,6.9,Kane,11.8,False,,a,18,6,263,0,0,0,0,0.0,21.0,Kane,3406,30,9,11,62,0,0,1,6,0,0,48,1008,1342.0,759.6,1760.0,386.3,2.0,2.0,23.0,1.0,2.0,2.0,1.0,1.0,12.5
