id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,now_cost_millions
5,,,226597,0,0,0,0,0,2,2.8,,0,Gabriel,0.0,False,,,50,226597.jpg,3.8,dos Santos Magalhães,23.1,False,,a,1,3,146,0,0,0,0,0.0,29.2,Gabriel,3409,3,0,14,43,0,0,0,5,0,0,15,723,743.8,131.4,401.0,127.7,31.0,6.0,196.0,54.0,80.0,3.0,77.0,9.0,5.0
17,,,225321,0,0,0,0,0,1,3.7,,0,Aaron,0.0,False,,,50,225321.jpg,3.8,Ramsdale,20.4,False,,a,1,3,143,0,0,0,0,0.0,28.6,Ramsdale,3420,0,0,14,43,0,0,0,1,0,94,9,664,764.8,0.0,0.0,76.5,28.0,8.0,584.0,71.0,582.0,68.0,165.0,8.0,5.0
29,,,198869,0,0,0,0,0,2,3.1,,0,Benjamin,0.0,False,,,55,198869.jpg,4.1,White,9.6,False,,a,1,3,156,0,0,0,0,0.0,28.4,White,3054,2,5,15,35,0,0,0,5,0,0,12,734,655.4,492.5,159.0,130.8,57.0,16.0,56.0,8.0,170.0,31.0,75.0,8.0,5.5
43,,,230046,0,0,0,0,0,3,1.5,,0,Douglas Luiz,0.0,False,,,55,230046.jpg,3.8,Soares de Paulo,3.0,False,,a,2,7,142,0,0,0,0,0.0,25.8,Douglas Luiz,2922,6,7,13,35,0,0,0,6,1,0,17,594,698.4,668.6,261.0,162.7,44.0,19.0,34.0,28.0,122.0,78.0,50.0,37.0,5.5
51,,,149484,0,0,0,0,0,2,1.5,,0,Tyrone,0.0,False,,,45,149484.jpg,3.7,Mings,14.9,False,,a,2,7,130,0,0,0,0,0.0,28.9,Mings,3150,1,3,12,40,1,0,0,7,0,0,17,617,664.4,88.2,121.0,87.8,53.0,13.0,249.0,82.0,201.0,54.0,138.0,32.0,4.5
60,,,178301,0,0,0,0,0,4,2.0,,0,Ollie,0.0,False,,,80,178301.jpg,4.7,Watkins,18.1,False,,a,2,7,175,0,0,0,0,0.0,21.9,Watkins,3129,15,8,13,40,0,0,1,4,0,0,25,550,837.6,420.3,1308.0,256.7,20.0,4.0,71.0,4.0,6.0,4.0,15.0,4.0,8.0
85,,,154566,0,0,0,0,0,4,2.2,,0,Dominic,0.0,False,,,65,154566.jpg,3.9,Solanke,2.8,False,,a,3,91,130,0,0,0,0,0.0,20.0,Solanke,2865,6,10,8,52,0,0,0,2,0,0,14,339,528.8,282.1,1053.0,185.7,92.0,8.0,114.0,10.0,13.0,8.0,40.0,9.0,6.5
291,,,116535,0,0,0,0,0,1,4.5,,0,Alisson,0.0,False,,,55,116535.jpg,4.4,Ramses Becker,9.3,False,,a,11,14,162,0,0,0,0,0.0,29.5,Alisson,3330,0,1,14,43,0,1,0,1,0,107,15,824,966.4,10.1,0.0,97.6,11.0,4.0,341.0,7.0,595.0,70.0,123.0,4.0,5.5
355,,,223094,0,0,0,0,0,4,5.5,,0,Erling,0.0,False,,,140,223094.jpg,7.8,Haaland,86.8,False,,a,13,43,272,0,0,0,0,0.0,19.4,Haaland,2767,36,9,13,26,0,0,0,5,0,0,40,1040,1390.0,371.0,1825.0,358.1,1.0,1.0,88.0,6.0,1.0,1.0,4.0,2.0,14.0
373,,,141746,0,0,0,0,0,3,3.4,,0,Bruno,0.0,False,,,85,141746.jpg,4.8,Borges Fernandes,26.7,False,,a,14,1,176,0,0,0,0,0.0,20.7,B.Fernandes,3317,8,9,18,39,0,0,0,6,0,0,23,748,1004.2,1603.7,982.0,359.3,8.0,3.0,2.0,1.0,16.0,7.0,3.0,2.0,8.5
